,id,name
179,3.0.IncShr.q2,Income Share of Second Quintile
180,3.0.IncShr.q3,Income Share of Third Quintile
181,3.0.IncShr.q4,Income Share of Fourth Quintile
182,3.0.IncShr.q5,Income Share of Fifth Quintile
183,3.0.MLongDev0,"Mean Log Deviation, GE(0)"
184,3.0.Rate75-25,Rate 75/25
185,3.0.Rate90-10,Rate 90/10
186,3.0.TheilInd1,"Theil Index, GE(1)"
187,3.1.Gini,"Gini, Rural"
188,3.1.MLongDev0,"Mean Log Deviation, GE(0), Rural"
189,3.1.TheilInd1,"Theil Index, GE(1), Rural"
190,3.1_LOW.SEC.NEW.TEACHERS,"Lower secondary education, new teachers, national source"
191,3.1_PRI.NEW.ENTRANTS,"Primary education, new entrants, national source"
192,3.1_RE.CONSUMPTION,Renewable energy consumption (TJ)
193,3.11_LOW.SEC.CLASSROOMS,"Lower secondary education, classrooms, national source"
194,3.12_LOW.SEC.NEW.CLASSROOMS,"Lower secondary education, new classrooms, national source"
195,3.13_PRI.MATH.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, mathematics"
196,3.14_PRI.LANGU.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, language"
197,3.15_LEARN.TIME.TEACHER.STUDY,Last study on effective learning time and teacher attendance (year)
198,3.2.Gini,"Gini, Urban"
199,3.2.MLongDev0,"Mean Log Deviation, GE(0),Urban"
200,3.2.TheilInd1,"Theil Index, GE(1),Urban"
201,3.2_PRI.STUDENTS,"Primary education, pupils, national source"
202,3.3_PRI.TEACHERS,"Primary education, teachers, national source"
203,3.4_PRI.NEW.TEACHERS,"Primary education, new teachers, national source"
204,3.5_PRI.CLASSROOMS,"Primary education, classrooms, national source"
205,3.6_PRI.NEW.CLASSROOMS,"Primary education, new classrooms, national source"
206,3.7_LOW.SEC.NEW.ENTRANTS,"Lower Secondary education, new entrants, national source"
207,3.8_LOW.SEC.STUDENTS,"Lower secondary education, pupils, national source"
208,3.9_LOW.SEC.TEACHERS,"Lower secondary education, teachers, national source"
209,4.0.nini.15a18,Youth: Neither in School Nor Working  (15-18)
210,4.0.nini.15a24,Youth: Neither in School Nor Working  (15-24)
211,4.0.nini.19a24,Youth: Neither in School Nor Working  (19-24)
212,4.0.stud.15a18,Youth: In School (15-18)
213,4.0.stud.15a24,Youth: In School (15-24)
214,4.0.stud.19a24,Youth: In School (19-24)
215,4.0.studwork.15a18,Youth: In School and Employed (15-18)
216,4.0.studwork.15a24,Youth: In School and Employed (15-24)
217,4.0.studwork.19a24,Youth: In School and Employed (19-24)
218,4.0.work.15a18,Youth: Employed (15-18)
219,4.0.work.15a24,Youth: Employed (15-24)
220,4.0.work.19a24,Youth: Employed (19-24)
221,4.1.1_TOTAL.ELECTRICITY.OUTPUT,Total electricity output (GWh)
222,4.1.2_REN.ELECTRICITY.OUTPUT,Renewable energy electricity output (GWh)
223,4.1.nini.15a18,"Youth: Neither in School Nor Working  (15-18), Male"
224,4.1.nini.15a24,"Youth: Neither in School Nor Working  (15-24), Male"
225,4.1.nini.19a24,"Youth: Neither in School Nor Working  (19-24), Male"
226,4.1.stud.15a18,"Youth: In School (15-18), Male"
227,4.1.stud.15a24,"Youth: In School (15-24), Male"
228,4.1.stud.19a24,"Youth: In School (19-24), Male"
229,4.1.studwork.15a18,"Youth: In School and Employed (15-18), Male"
230,4.1.studwork.15a24,"Youth: In School and Employed (15-24), Male"
231,4.1.studwork.19a24,"Youth: In School and Employed (19-24), Male"
232,4.1.work.15a18,"Youth: Employed (15-18), Male"
233,4.1.work.15a24,"Youth: Employed (15-24), Male"
234,4.1.work.19a24,"Youth: Employed (19-24), Male"
235,4.1_SHARE.RE.IN.ELECTRICITY,Renewable electricity (% in total electricity output)
236,4.1_TOTAL.EDU.SPENDING,Public spending on total education (% of total public spending)
237,4.2.nini.15a18,"Youth: Neither in School Nor Working  (15-18), Female"
238,4.2.nini.15a24,"Youth: Neither in School Nor Working  (15-24), Female"
239,4.2.nini.19a24,"Youth: Neither in School Nor Working  (19-24), Female"
240,4.2.stud.15a18,"Youth: In School (15-18), Female"
241,4.2.stud.15a24,"Youth: In School (15-24), Female"
242,4.2.stud.19a24,"Youth: In School (19-24), Female"
243,4.2.studwork.15a18,"Youth: In School and Employed (15-18), Female"
244,4.2.studwork.15a24,"Youth: In School and Employed (15-24), Female"
245,4.2.studwork.19a24,"Youth: In School and Employed (19-24), Female"
246,4.2.work.15a18,"Youth: Employed (15-18), Female"
247,4.2.work.15a24,"Youth: Employed (15-24), Female"
248,4.2.work.19a24,"Youth: Employed (19-24), Female"
249,4.2_BASIC.EDU.SPENDING,Public spending on basic education (% of public spending on total education)
250,4.3_TOTAL.EDU.RECURRENT,Public recurrent spending on total education (% of total public recurrent spending)
251,4.4_BASIC.EDU.RECURRENT,Public recurrent spending on basic education (% of public recurrent spending on total education)
252,5.0.AMeanIncGr.All,Annualized Mean Income Growth (2004-2014)
253,5.0.AMeanIncGr.B40,Annualized Mean Income Growth Bottom 40 Percent (2004-2014)
254,5.1.1_AFG.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Afghanistan (USD million)"
255,5.1.1_ALB.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Albania (USD million)"
256,5.1.1_BFA.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Burkina Faso (USD million)"
257,5.1.1_CAF.TOT.AID.GPE," International aid disbursed to total education, Global Partnership for Education to Central African Republic (USD million)  "
258,5.1.1_CIV.TOTA.AID.AFDB," International aid disbursed to total education, AfDB to Côte d'Ivoire (USD million) "
259,5.1.1_CMR.TOTA.AID.BAD,"International aid disbursed to total education, AfDB to Cameroun (USD million) "
260,5.1.1_DJI.TOTA.AID.WB,"International aid disbursed to total education, World Bank (IDA) to Djibouti (USD million)"
261,5.1.1_ETH.TOTA.AID.ADB,"International aid disbursed to total education, ADB to Ethiopia (USD million)"
262,5.1.1_GEO.TOTA.AID.EC,"International aid disbursed to total education, European Commission to Georgia (USD million)"
263,5.1.1_GHA.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Djibouti (USD million) "
264,5.1.1_GIN.TOTA.AID.ADPP.AFD,"International aid disbursed to total education, AFD to Guinea (USD million) "
265,5.1.1_GNB.TOTA.AID.ADPP.EU,"International aid disbursed to total education, ADPP (European Union) to Guinea Bissau (USD million) "
266,5.1.1_KGZ.TOTA.AID.ADPP.EU," International aid disbursed to total education, European Commission to Kyrgyzstan (USD million)  "
267,5.1.1_KHM.TOTA.AID.BAD," International aid disbursed to total education, AfDB to Cambodia (USD million)  "
268,5.1.1_LAO.TOTA.AID.ADB," International aid disbursed to total education, ADB to Laos (USD million)  "
269,5.1.1_LBR.TOTA.AID.UNICEF," International aid disbursed to total education, UNICEF to Liberia (USD million)  "
270,5.1.1_MDA.TOTA.AID.UNICEF," International aid disbursed to total education, UNICEF to Moldova (USD million)  "
271,5.1.1_MDG.TOTA.AID.WB, International aid to total education executed by World Bank (including GPE funds) in Madagascar (USD million)  
272,5.1.1_MOZ.TOTA.AID.CAN," International aid disbursed to total education, Canada to Mozambique (USD million) "
273,5.1.1_MRT.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Mauritania (USD million) "
274,5.1.1_MWI.TOTA.AID.AFDB,"International aid disbursed to total education, AfDB to Malawi (USD million) "
275,5.1.1_NER.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Niger (USD million) "
276,5.1.1_RWA.TOTA.AID.DFID," International aid disbursed to total education, DFID to Rwanda (USD million)  "
277,5.1.1_SEN.TOTA.AID.CIDA," International aid disbursed to total education, CIDA to Senegal (USD million)  "
278,5.1.1_SLE.TOTA.AID.DFID," International aid disbursed to total education, DFID to Sierra Leone (USD million)  "
279,5.1.1_VNM.TOTA.AID.BEL,"International aid disbursed to total education, Belgium to Vietnam (USD million) "
280,5.1.1_ZMB.TOTA.AID.DNK,"International aid disbursed to total education, Denmark to Zambia (USD million)"
281,5.1.10_AFG.TOTA.AID.SIDA,"International aid disbursed to total education, Sida to Afghanistan (USD million)"
282,5.1.10_ETH.TOTA.AID.JPN,"International aid disbursed to total education, Japan Government to Ethiopia (USD million) "
283,5.1.10_KHM.TOTA.AID.WFP," International aid disbursed to total education, WFP to Cambodia (USD million)  "
284,5.1.10_LAO.TOTA.AID.WB," International aid disbursed to total education, World Bank to Laos (USD million)  "
285,5.1.10_MDG.TOTA.AID.EC, International aid to total education executed by the European Commission in Madagascar (USD million)  
286,5.1.10_MOZ.TOTA.AID.JPN," International aid disbursed to total education, Japan to Mozambique (USD million) "
287,5.1.10_MWI.TOTA.AID.WFP,"International aid disbursed to total education, WFP to Malawi (USD million) "
288,5.1.10_NER.TOTA.AID.UNICEF,"International aid disbursed to total  education, UNICEF to Niger (USD million) "
289,5.1.10_TJK.TOTA.AID.WB," International aid disbursed to total education, World Bank to Tajikistan (USD million)  "
290,5.1.11_AFG.TOTA.AID.UNESCO,"International aid disbursed to total education, UNESCO to Afghanistan (USD million)"
291,5.1.11_ETH.TOTA.AID.JICA,"International aid disbursed to total education, JICA to Ethiopia (USD million) "
292,5.1.11_KHM.TOTA.AID.WB," International aid disbursed to total education, World Bank to Cambodia (USD million) "
293,5.1.11_LAO.TOTA.AID.INGOS," International aid disbursed to total education, International NGOs to Laos (USD million)  "
294,5.1.11_MOZ.TOTA.AID.NLD," International aid disbursed to total education, Netherlands to Mozambique (USD million) "
295,5.1.11_MWI.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Malawi (USD million) "
296,5.1.12_AFG.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Afghanistan (USD million)"
297,5.1.12_ETH.TOTA.AID.KFW,"International aid disbursed to total education, KfW to Ethiopia (USD million) "
298,5.1.12_MOZ.TOTA.AID.PRT," International aid disbursed to total education, Portugal to Mozambique (USD million) "
299,5.1.13_AFG.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Afghanistan (USD million)"
300,5.1.13_ETH.TOTA.AID.NLD,"International aid disbursed to total education, Netherlands to Ethiopia (USD million) "
301,5.1.13_MOZ.TOTA.AID.ESP," International aid disbursed to total education, Spain to Mozambique (USD million) "
302,5.1.14_ETH.TOTA.AID.SIDA,"International aid disbursed to total education, Sida to Ethiopia (USD million) "
303,5.1.14_MOZ.TOTA.AID.UNICEF," International aid disbursed to total education, UNICEF to Mozambique (USD million) "
304,5.1.15_ETH.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Ethiopia (USD million) "
305,5.1.15_MOZ.TOTA.AID.USAID," International aid disbursed to total education, USAID to Mozambique (USD million) "
306,5.1.16_ETH.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Ethiopia (USD million) "
307,5.1.16_MOZ.TOTA.AID.WB," International aid disbursed to total education, World Bank to Mozambique (USD million) "
308,5.1.17_ETH.TOTA.AID.WFP,"International aid disbursed to total education, WFP to Ethiopia (USD million) "
309,5.1.18_ETH.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Ethiopia (USD million) "
310,5.1.2_AFG.TOTA.AID.DANIDA,"International aid disbursed to total education, DANIDA to Afghanistan (USD million)"
311,5.1.2_ALB.TOTA.AID.BEI,"International aid disbursed to total education, BEI to Albania (USD million)"
312,5.1.2_BFA.TOTA.AID.AFD," International aid disbursed to total education, AFD to Burkina Faso (USD million)  "
